"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.01550880974779e-40,0.392499052488236,1,1,3.32457274135232e-36,"0","RPS18"
3.36414111508576e-39,0.411158251193307,1,1,1.10135251825677e-34,"0","RPS28"
5.840759019351e-37,0.379856139912789,1,1,1.91214768775513e-32,"0","RPS29"
3.42625467802815e-34,0.317993467452935,1,1,1.12168725649286e-29,"0","RPS14"
1.25320983037594e-32,0.322522381704299,1,1,4.10275834268474e-28,"0","RPL18A"
2.00469488906705e-32,0.346115020274381,1,1,6.56297012782771e-28,"0","RPS12"
2.4966938322487e-32,0.281722126341559,1,1,8.17367626801579e-28,"0","RPL41"
3.36395687710388e-32,0.357903432872732,1,1,1.10129220242627e-27,"0","RPS19"
3.5574906011953e-32,0.459706489981698,1,1,1.16465127301932e-27,"0","MT-CO1"
6.83601642016892e-32,0.497347471297526,1,1,2.2379750556349e-27,"0","EEF1A1"
2.29146771260923e-31,0.60863090587646,1,0.984,7.5018069975401e-27,"0","ZFAS1"
2.47726954267449e-31,0.415355550580506,1,1,8.11008502880773e-27,"0","RPS27"
6.30833085414732e-29,0.363361547094104,1,1,2.06522135503075e-24,"0","RPL13A"
1.03692538687472e-28,0.377764444961157,1,1,3.39468633155045e-24,"0","RPL27A"
6.0502421139755e-28,0.309598035362762,1,1,1.9807282632733e-23,"0","RPL13"
2.51597225109584e-27,0.340389933886182,1,1,8.23678995563755e-23,"0","RPS8"
1.58973438500309e-26,0.42682837304008,1,1,5.20447242962313e-22,"0","RPL34"
2.71202405579512e-26,0.304423191305188,1,1,8.87862435386206e-22,"0","RPS15A"
1.94929223503976e-25,0.325525517713002,1,1,6.38159291907315e-21,"0","RPL12"
3.57996421796941e-25,0.345708722801652,1,1,1.17200868567883e-20,"0","RPL39"
4.10710249589587e-25,0.288978114037699,1,1,1.34458321510639e-20,"0","RPLP2"
4.88409080035439e-25,0.372890980932417,0.997,1,1.59895364622002e-20,"0","RPL23"
4.62191893966936e-24,0.313038233055018,1,1,1.51312382246896e-19,"0","RPL21"
6.11163614648696e-24,0.324792293657293,1,1,2.0008274416369e-19,"0","RPL15"
6.8694713970592e-24,0.298722337599379,1,1,2.24892754596924e-19,"0","RPS23"
1.18936489620184e-23,0.413028207146992,1,0.997,3.89374279718558e-19,"0","RPL31"
1.42658154673275e-23,0.729327676885363,1,0.995,4.67034266769368e-19,"0","COL3A1"
2.89451291537814e-22,0.296581243064518,1,1,9.47605638236494e-18,"0","RPS6"
4.30917225567106e-22,0.339500219939157,1,1,1.41073681306159e-17,"0","TPT1"
7.20907492860002e-22,0.317652637697122,1,1,2.36010695012507e-17,"0","RPL10"
7.77712378488551e-21,0.285679559543195,1,1,2.54607478469582e-16,"0","SERF2"
2.22672148685366e-20,0.273818116649009,1,1,7.28984080366151e-16,"0","RPL37A"
7.35013854260334e-20,0.270522568040126,1,1,2.40628835607748e-15,"0","RPL28"
1.64916170875233e-19,0.355326032751939,1,1,5.39902560211339e-15,"0","RPS4X"
2.69296779257248e-19,0.681860680633873,0.955,0.895,8.81623795932378e-15,"0","DAB2"
4.83492530482494e-19,0.334757577737493,1,1,1.58285784629359e-14,"0","OST4"
4.92631009273155e-19,0.253368437967096,1,1,1.61277539815846e-14,"0","RPL32"
1.26353641082538e-18,0.457249453387087,1,1,4.13656550176013e-14,"0","COL1A1"
1.74888796823719e-18,0.348343618014397,1,0.998,5.72550943041493e-14,"0","RPL4"
4.79574774253874e-18,0.65758382277995,0.926,0.836,1.57003189595233e-13,"0","SNHG8"
5.84890454742865e-18,0.31597650178011,1,1,1.91481437073719e-13,"0","FTH1"
2.02590147896207e-17,0.294201393353277,1,1,6.63239626182601e-13,"0","MT-CO3"
2.04895276766391e-17,0.729988301598554,0.877,0.817,6.70786157077811e-13,"0","MEG3"
3.13943977254061e-17,0.315250407801501,1,1,1.02778979273434e-12,"0","RPL3"
4.99737492158226e-17,0.92111851840888,1,0.995,1.6360406018276e-12,"0","IGFBP5"
5.71372779500744e-17,0.301818824827658,1,1,1.87056020552953e-12,"0","RPL23A"
1.05184000906511e-16,0.270039685766918,1,1,3.44351382167735e-12,"0","RPS2"
1.60075616811245e-16,0.45867790068699,0.99,0.976,5.24055554316655e-12,"0","EEF2"
4.58550461425828e-16,0.453227700114359,1,1,1.50120250061588e-11,"0","MALAT1"
8.78490889505156e-16,0.341952123110643,1,0.998,2.87600347406198e-11,"0","RPL17"
3.27550060292457e-15,0.265282928240952,1,0.998,1.07233338738545e-10,"0","RPL29"
3.50807868518884e-15,0.255571035604524,1,1,1.14847479995712e-10,"0","RPL11"
4.3268574925701e-15,0.306610681873376,1,1,1.4165266059176e-10,"0","FTL"
5.74654295781968e-15,0.292905467465493,1,1,1.88130323353101e-10,"0","RPL6"
7.82476926156326e-15,0.363540999492502,0.997,0.988,2.56167296085058e-10,"0","GPX4"
3.65331532780432e-14,0.732993945245119,0.922,0.871,1.19602237201658e-09,"0","NREP"
5.13446582466701e-14,0.65578761702848,0.997,0.991,1.68092142167948e-09,"0","FN1"
5.2203263982078e-14,0.533023576661648,0.932,0.904,1.70903045624527e-09,"0","C6orf48"
8.07132581517463e-14,1.54605614812057,0.447,0.218,2.64239064537187e-09,"0","OGN"
3.0525973549365e-13,0.259124243828577,1,1,9.99359322059111e-09,"0","RPS21"
3.85464696347056e-13,0.763768983816067,0.861,0.796,1.26193432290099e-08,"0","FBN1"
6.07950967338101e-13,0.28682615047202,1,0.998,1.99030987687148e-08,"0","RPL37"
6.64889717210151e-13,0.350514930680332,0.971,0.97,2.17671595620259e-08,"0","NBEAL1"
1.26714126289064e-12,0.266231802642075,1,1,4.14836706645137e-08,"0","RPS3A"
5.26064065849008e-12,0.872041260697557,0.841,0.768,1.72222853877648e-07,"0","CDH6"
1.97424767375031e-11,0.296493586697538,0.994,0.988,6.46329203432376e-07,"0","PPDPF"
2.06613182013764e-11,0.268295587599563,1,1,6.76410235276661e-07,"0","RPL7A"
3.13653964719705e-11,0.35834923593503,0.974,0.958,1.02684034969937e-06,"0","TTC3"
4.13407949183295e-11,0.329183950573681,1,0.986,1.35341494403627e-06,"0","RPL36A"
7.71255961769886e-11,1.13933859349641,0.492,0.291,2.52493776764225e-06,"0","LURAP1L"
1.51895272328625e-10,0.303269533140333,1,0.993,4.97274742549453e-06,"0","NUPR1"
2.60078855121551e-10,0.258556660296976,0.997,1,8.51446155896935e-06,"0","RPS25"
2.84664037125495e-10,0.293211641663974,1,1,9.31933124741444e-06,"0","MT-CO2"
5.0496311586525e-10,0.841445083271131,0.599,0.423,1.65314824871966e-05,"0","SESN3"
1.39367419794913e-09,0.646741053864866,0.871,0.794,4.56261058924587e-05,"0","TBL1XR1"
2.59999426934349e-09,0.293739091180094,0.981,0.976,8.51186123897672e-05,"0","TOMM7"
3.714154046898e-09,0.421095975270107,0.977,0.965,0.000121593975187347,"0","COL5A2"
4.5721748260261e-09,0.432137767098202,0.922,0.869,0.000149683859454442,"0","DDR2"
5.89498814838887e-09,0.957261657723918,0.515,0.341,0.000192990122001955,"0","SEPP1"
6.33820221891248e-09,0.878928420256141,0.612,0.439,0.000207500064242757,"0","MAF"
9.19020435562524e-09,0.821883918868121,0.605,0.449,0.000300868910194459,"0","PNRC1"
1.10801845848968e-08,0.402857712482435,0.906,0.819,0.000362743082940351,"0","IGFBP4"
1.20842450137911e-08,0.390711671190318,0.945,0.909,0.000395614013261495,"0","EIF3L"
1.25560343006711e-08,0.488687576504076,0.939,0.918,0.000411059450935369,"0","CCDC80"
1.45927392303507e-08,0.488172439287978,0.871,0.803,0.000477737096923221,"0","COL5A1"
1.48831707853608e-08,0.571132078878536,0.799,0.74,0.000487245245171141,"0","COPZ2"
1.83385451819886e-08,0.761895817858501,0.65,0.497,0.000600367292167943,"0","RUNX1T1"
1.85798753534018e-08,0.30104701055518,0.984,0.972,0.000608267959319668,"0","PABPC1"
2.65425375104452e-08,0.358107968317863,0.932,0.904,0.000868949593016957,"0","C1orf122"
3.7431106048304e-08,0.265799239434864,0.99,0.981,0.00122541954980938,"0","RPSAP58"
4.9249358315254e-08,0.264426931973539,1,0.995,0.00161232549252479,"0","SLC25A6"
5.73189716884708e-08,0.374854643228745,0.948,0.889,0.00187650849513716,"0","ARID5B"
7.27143367534434e-08,0.596487407221568,0.803,0.714,0.00238052195663423,"0","LTBP1"
8.09244141282817e-08,0.469867217367945,0.926,0.838,0.00264930346973169,"0","PDE5A"
8.28142825422901e-08,0.734977888584302,0.644,0.507,0.00271117398186949,"0","WNT2"
9.27527897799846e-08,0.384767543580472,0.906,0.814,0.00303654083181714,"0","MFAP4"
3.07886470053946e-07,0.702106930942738,0.625,0.509,0.0100795872566261,"0","EPB41L4A-AS1"
3.79657188031932e-07,0.389093000401371,0.812,0.72,0.0124292170217894,"0","A1BG"
5.35397357791151e-07,0.49865868070972,0.816,0.732,0.0175278386993667,"0","EHD2"
7.0763563336576e-07,0.336160931509806,0.977,0.948,0.0231665753651283,"0","COL6A3"
9.94162374046728e-07,0.334662663677947,0.935,0.913,0.0325468878015418,"0","FAM127A"
1.0487389151092e-06,1.16440911687042,0.495,0.354,0.0343336146028449,"0","SEMA3C"
1.10344901973104e-06,0.420531252641035,0.883,0.8,0.0361247140079546,"0","GABARAPL1"
1.10797249548163e-06,0.785889893010239,0.505,0.354,0.0362728035570775,"0","FOXN3"
1.42833140167171e-06,0.427893658602584,0.883,0.841,0.0467607134279284,"0","PLAC9"
1.85260055840174e-06,0.582099735298858,0.686,0.568,0.0606504370809563,"0","ZMAT3"
2.68305819271115e-06,0.971498782359394,0.362,0.228,0.0878379591129778,"0","SHISA3"
3.54565023912056e-06,0.274860017399234,0.987,0.977,0.116077497528329,"0","COX7A2L"
3.72837179885598e-06,0.718787857969944,0.46,0.321,0.122059435950947,"0","RP11-572C15.6"
4.07586663553556e-06,0.64599777131902,0.977,0.979,0.133435721914163,"0","COL1A2"
4.65389128500141e-06,0.489115976279311,0.825,0.807,0.152359092888376,"0","LOX"
4.90326042717948e-06,0.97830160474562,0.375,0.246,0.160522939865002,"0","PCMTD1"
4.99769997990015e-06,0.800775386039487,0.495,0.376,0.163614701941971,"0","CDC42EP5"
5.59256962264635e-06,0.470941651341939,0.715,0.638,0.183089544306196,"0","MXD4"
6.10156630881436e-06,0.887467537176166,0.259,0.138,0.199753077817964,"0","LUZP2"
6.10266772443135e-06,0.414076929394749,0.922,0.911,0.199789135962434,"0","PPP1CB"
6.16680726615316e-06,0.261051380912838,0.951,0.949,0.201888936279322,"0","PDLIM2"
6.447187356487e-06,1.09173789381613,0.324,0.195,0.211068019676671,"0","ASPN"
6.55158592537518e-06,0.805316518471559,0.333,0.2,0.214485820024933,"0","SEZ6L2"
7.02485640109297e-06,0.321921200729617,0.968,0.955,0.229979748858982,"0","MDK"
7.35124753805376e-06,0.533735202063857,0.696,0.585,0.240665141900804,"0","UBE2H"
7.61432203351264e-06,0.467106906285015,0.748,0.652,0.249277674733137,"0","FOXP1"
7.69497256259885e-06,1.01317924569689,0.301,0.176,0.251918011754361,"0","SLC40A1"
8.46779603513936e-06,1.22660563042068,0.291,0.174,0.277218706598392,"0","STARD4-AS1"
8.71172293313832e-06,0.39428276695953,0.88,0.805,0.285204385385082,"0","RGS10"
9.29910860663544e-06,0.355319633381553,0.935,0.885,0.304434217564031,"0","VCAN"
9.87408453559239e-06,0.620929525882116,0.725,0.62,0.323257779526224,"0","CLDN11"
1.09933927117511e-05,0.553517481583587,0.786,0.723,0.359901690597308,"0","BICC1"
1.41126948040717e-05,0.814506352636797,0.43,0.3,0.462021402495699,"0","TPD52L1"
1.70698738811845e-05,0.27586433112292,0.974,0.976,0.558833531122217,"0","MARCKS"
1.84730930682136e-05,0.437457919883458,0.689,0.591,0.604772120867177,"0","ZNF106"
2.20606411126978e-05,0.531012037594678,0.663,0.58,0.722221268747502,"0","VEZT"
2.58448496832776e-05,0.266172024284673,0.926,0.941,0.846108688931143,"0","EIF3F"
2.79081674531681e-05,0.566275923024432,0.764,0.697,0.913657586081816,"0","NR2F2"
3.13723508499431e-05,0.532191740473311,0.634,0.517,1,"0","MAF1"
3.37597932626713e-05,0.422057043861861,0.877,0.855,1,"0","FBN2"
4.55928268637884e-05,0.33594540135344,0.809,0.756,1,"0","SHC1"
5.39996938053064e-05,0.405239230424944,0.864,0.753,1,"0","BTG1"
6.31296184806324e-05,0.359981381940022,0.867,0.831,1,"0","C9orf16"
7.31411376232335e-05,0.417554932221194,0.683,0.591,1,"0","RARS2"
8.00569842281014e-05,0.481548887149725,0.638,0.537,1,"0","EXTL2"
8.28431128433632e-05,0.575246350047094,0.531,0.422,1,"0","GPC6"
9.90514265182342e-05,0.392576999977638,0.715,0.605,1,"0","SYNC"
9.99464676379279e-05,0.575782151485563,0.644,0.547,1,"0","FAM211A"
0.000110125607786566,0.26309276150683,0.948,0.901,1,"0","COL12A1"
0.000118164475118149,0.358935941808778,0.793,0.699,1,"0","CEBPD"
0.000119525556249905,0.388268839791337,0.68,0.585,1,"0","RPS17"
0.000132521852504649,0.346217185343065,0.767,0.699,1,"0","SMIM14"
0.000136564510184912,0.545045761059096,0.476,0.364,1,"0","ROR1"
0.000138500474841904,0.311616217490889,0.922,0.852,1,"0","COL4A2"
0.000149577306712694,0.72906281839183,0.356,0.242,1,"0","MCC"
0.000162959484097096,0.273482969654879,0.948,0.948,1,"0","SLC38A2"
0.000194506345884807,0.31727933009269,0.903,0.845,1,"0","NR2F1"
0.000200030548042002,0.746257890347042,0.362,0.254,1,"0","SCN9A"
0.000204575773064226,0.38410771436749,0.761,0.7,1,"0","MMP24-AS1"
0.000218912865589145,0.303203920082829,0.851,0.855,1,"0","GTF2I"
0.000220434600328354,0.495268277949642,0.735,0.662,1,"0","EIF2S3"
0.000221909767922236,0.477742370565205,0.628,0.537,1,"0","PEAK1"
0.000230260388661017,0.877374795360115,0.366,0.265,1,"0","NRP2"
0.000234877522706276,0.320677455189298,0.955,0.894,1,"0","MLTK"
0.00023867411316581,0.489165760008852,0.634,0.54,1,"0","MT-ND6"
0.000264447573578143,0.463331812823978,0.498,0.376,1,"0","LINC00662"
0.000276416876987225,0.588930472119575,0.421,0.31,1,"0","TRIM22"
0.000295315611853915,0.842324085516768,0.307,0.202,1,"0","CLIP3"
0.00029733543259128,0.464710421398499,0.699,0.617,1,"0","IFT20"
0.000300323428772932,0.518476437757004,0.663,0.559,1,"0","SLC30A7"
0.000314317964418015,0.513202414967906,0.56,0.446,1,"0","FLYWCH2"
0.000341604334466371,0.719990384563326,0.537,0.434,1,"0","TNC"
0.00034179641797667,0.296659058780057,0.77,0.686,1,"0","HEG1"
0.000368621449385741,0.282187495084847,0.906,0.885,1,"0","GABARAP"
0.000369096805946474,0.394744274951832,0.528,0.427,1,"0","RP11-220I1.1"
0.000406375082667247,0.293391761584536,0.796,0.732,1,"0","UGDH"
0.000416139195440805,0.367583351680168,0.764,0.676,1,"0","YPEL5"
0.000431231688772206,0.250018047453017,0.871,0.889,1,"0","TAX1BP3"
0.000437460583395552,0.893455031702523,0.252,0.16,1,"0","ERBB2"
0.000471142804066866,0.529414123414339,0.644,0.57,1,"0","RBMS3"
0.000495214710146697,0.489574228801119,0.835,0.824,1,"0","ZFP36L1"
0.000511874227976413,0.507915588346693,0.547,0.456,1,"0","SNHG18"
0.000528923866534961,0.457601496924162,0.647,0.577,1,"0","SETD5"
0.000547303062865622,0.569143815988608,0.592,0.507,1,"0","KANK2"
0.000566424657896968,0.641543433828599,0.343,0.244,1,"0","TCAIM"
0.000594055199926303,0.522323436749155,0.443,0.334,1,"0","SEL1L3"
0.000610919941572071,0.753400627653312,0.366,0.275,1,"0","GPR124"
0.000627849311562554,0.432031736337228,0.463,0.341,1,"0","ZCCHC24"
0.000648990834441723,0.610195078116763,0.353,0.251,1,"0","PAN3"
0.000653472025642527,0.370546413312912,0.757,0.686,1,"0","MMP23B"
0.000660491783435174,0.914219509316459,0.275,0.183,1,"0","MBNL1-AS1"
0.00069238183496604,0.514854714901313,0.44,0.355,1,"0","STAT2"
0.000699127745967991,0.481380814394505,0.566,0.483,1,"0","ZKSCAN1"
0.00071906135307018,0.765198879152018,0.291,0.195,1,"0","APBB2"
0.000819492696625152,0.365142065708051,0.663,0.591,1,"0","DESI2"
0.00083693026424572,0.285411043137709,0.825,0.74,1,"0","LMO4"
0.000843155906514155,0.445227382621239,0.592,0.509,1,"0","RYBP"
0.000942831554959488,0.581603672950277,0.424,0.322,1,"0","SPSB1"
0.000979928940159387,0.426709168024157,0.641,0.568,1,"0","LRP1"
0.00099942999225304,0.297080848539327,0.79,0.685,1,"0","LIMA1"
0.00111661026494377,0.70347681899789,0.417,0.345,1,"0","OLFM2"
0.00117743434305522,0.284331643597991,0.854,0.798,1,"0","BGN"
0.00119833864000843,0.956443552853144,0.278,0.192,1,"0","KAL1"
0.00126378237083433,0.328327475911387,0.822,0.814,1,"0","CTTN"
0.00131775994887289,0.396121362522699,0.796,0.76,1,"0","PBX1"
0.00132680736070976,0.258809026464326,0.761,0.704,1,"0","TGFBI"
0.00155275272340549,0.37354506408699,0.654,0.57,1,"0","PEX2"
0.00155593503221517,0.532415978094695,0.748,0.7,1,"0","POSTN"
0.00165882131827403,0.647153272948634,0.447,0.357,1,"0","PCDH7"
0.00174301905454265,0.722846638246849,0.269,0.185,1,"0","NCOA1"
0.0017882043328285,0.705008913193188,0.362,0.275,1,"0","APOL2"
0.00186595906822719,0.261752057473731,0.783,0.707,1,"0","C12orf23"
0.00200261019387065,0.526175942562478,0.424,0.34,1,"0","ARL4D"
0.00209239845491745,0.283393926632652,0.764,0.73,1,"0","TMEM219"
0.00230123313749163,0.537214518829471,0.505,0.415,1,"0","MARVELD1"
0.00232643333304611,0.647002088637058,0.369,0.286,1,"0","FAM198B"
0.00237750224394869,0.512393841760454,0.566,0.5,1,"0","BNC2"
0.00244155626659521,0.265990933961204,0.764,0.713,1,"0","N4BP2L2"
0.00249343225507223,0.295192727540138,0.738,0.69,1,"0","GNG12"
0.00259758438527713,0.415861346222233,0.576,0.474,1,"0","CLIP1"
0.00261593499909374,0.260473886798283,0.722,0.672,1,"0","TMEM183A"
0.00262145523414084,0.461550357972113,0.33,0.23,1,"0","PRRG1"
0.00280592628977087,0.315530633876945,0.709,0.653,1,"0","GLTSCR2"
0.00307393162993434,0.267570390184883,0.605,0.505,1,"0","LARP1"
0.00324413160516566,0.499166636209801,0.453,0.368,1,"0","GALNT10"
0.00333227674133692,0.785713508023195,0.294,0.221,1,"0","KLF9"
0.00336345083226457,1.3455248423916,0.285,0.206,1,"0","CYP1B1"
0.00336625940078929,0.503804162131749,0.453,0.359,1,"0","SEL1L"
0.00339557317973805,0.575627663639086,0.359,0.274,1,"0","SLC35E2B"
0.00343444694379145,0.391529515102894,0.589,0.509,1,"0","SPATS2"
0.00353200800306857,0.283489343316444,0.77,0.697,1,"0","ISOC1"
0.00369529175784047,0.370912031981483,0.738,0.681,1,"0","ITGAV"
0.00372935671633669,0.739756121028102,0.275,0.193,1,"0","RCAN2"
0.00375533818247034,0.33194398617819,0.673,0.638,1,"0","POLD4"
0.00389349132291882,0.563997611543975,0.337,0.254,1,"0","RAMP1"
0.00407955476063841,0.47035038432232,0.269,0.183,1,"0","CCDC126"
0.00408410877583962,0.439686234060462,0.638,0.585,1,"0","FOS"
0.00412453232216297,0.453873853312634,0.485,0.404,1,"0","NXN"
0.00440372792324966,0.462154248599257,0.275,0.188,1,"0","GPR107"
0.0044716073241708,0.392019450599198,0.544,0.472,1,"0","NFAT5"
0.00450772378559385,1.29671735527389,0.294,0.225,1,"0","KIAA1199"
0.00451134026916335,0.507564123273805,0.405,0.324,1,"0","HGSNAT"
0.00455458521871581,0.441619994688071,0.502,0.415,1,"0","SULF2"
0.00465165866593734,0.273026917159146,0.738,0.72,1,"0","WSB1"
0.00471473132839983,0.309783889597522,0.722,0.672,1,"0","TSPYL1"
0.00473170991300465,0.602667262402968,0.32,0.239,1,"0","H6PD"
0.00494699522760801,0.459878553034867,0.447,0.364,1,"0","PDXDC1"
0.00497784906272231,0.486170353562073,0.382,0.3,1,"0","WDR11"
0.00497804010059494,0.414109393851226,0.424,0.343,1,"0","RPS6KA2"
0.00512955779684494,0.274558226676048,0.819,0.768,1,"0","TEAD1"
0.0054902229010066,0.457146003835548,0.353,0.268,1,"0","ARIH1"
0.00581323195351488,0.530768758185554,0.392,0.308,1,"0","SIPA1L2"
0.00590533855762217,0.667784501812682,0.259,0.183,1,"0","CD200"
0.00611381425581416,0.332913653743523,0.528,0.463,1,"0","MGAT1"
0.00684096142956256,0.471579333546092,0.472,0.382,1,"0","NEK7"
0.00725788833189727,0.326649578285313,0.683,0.636,1,"0","FAM229B"
0.00786878201070161,0.335948339808133,0.466,0.375,1,"0","AKT1S1"
0.00789682570831399,0.458798974240243,0.398,0.314,1,"0","ZNF652"
0.00801847319286794,0.399785766062101,0.472,0.397,1,"0","TMEM47"
0.00806005243376199,0.462355413232505,0.46,0.375,1,"0","TMEM243"
0.00814288478755473,0.630486893422207,0.278,0.204,1,"0","MON2"
0.00816906875301462,0.275908760193597,0.689,0.645,1,"0","CHP1"
0.00823296254986166,0.368226835505821,0.602,0.521,1,"0","KDM5B"
0.00834389241207196,0.373393723699237,0.599,0.57,1,"0","EEF1G"
0.00845126751776873,0.264404326963689,0.841,0.836,1,"0","STAT1"
0.00882037273579884,0.591686833974432,0.43,0.369,1,"0","NBL1"
0.00930969263418817,0.309866596792405,0.599,0.542,1,"0","BLOC1S6"
0.00934491858870671,0.332315354924258,0.628,0.575,1,"0","CTDSP2"
0.00952916448499152,0.491151267179529,0.411,0.328,1,"0","FNBP1"
0.00981103614362448,0.295378607052719,0.761,0.733,1,"0","EIF4B"
3.28011105938525e-63,1.38559865278879,0.985,0.894,1.07384275862154e-58,"1","HLA-B"
1.76273401205679e-62,1.35252555883387,1,0.993,5.77083860867152e-58,"1","IGFBP7"
8.54599964862136e-60,1.02443771879562,1,1,2.79778936496566e-55,"1","TPM2"
1.27165546976135e-53,1.56590587941215,1,0.976,4.16314567690471e-49,"1","ACTG2"
6.51502960586973e-51,1.03469013894427,1,0.976,2.13289039236963e-46,"1","LAPTM4A"
5.11730815717628e-50,1.05941809229603,1,0.989,1.67530434449637e-45,"1","CTSC"
1.52268548123305e-49,0.816327944125707,1,0.987,4.98496772846077e-45,"1","CD63"
3.47594381127713e-48,1.2352468220118,1,0.987,1.13795448493591e-43,"1","TAGLN"
3.19456712499129e-46,0.965373258449091,1,1,1.04583738537965e-41,"1","CALD1"
9.4702521255497e-46,1.10072425302102,0.97,0.876,3.10037114086246e-41,"1","HLA-C"
4.25469314339357e-45,0.595312465770834,1,1,1.39290144128419e-40,"1","MYL6"
6.65308413477229e-44,1.14108736685535,0.959,0.873,2.17808668404175e-39,"1","HLA-A"
7.26035399649825e-44,0.48021176352071,1,1,2.3768946913736e-39,"1","LGALS1"
1.30074038217396e-42,1.0450865796238,0.993,0.911,4.25836386316111e-38,"1","GSTM3"
1.93875896659965e-40,0.750239242300092,1,1,6.34710910485395e-36,"1","NDUFA4"
4.91024015251158e-40,0.800505370072638,1,0.993,1.60751442112924e-35,"1","MYL12B"
5.80908177856622e-40,0.874772250365625,1,0.995,1.90177719266701e-35,"1","MYL12A"
4.87576050006568e-39,0.682887112881184,1,1,1.5962264725115e-34,"1","SPARC"
5.21883811513507e-38,1.25581236687004,0.948,0.798,1.70854322213292e-33,"1","NNMT"
3.70426498130568e-37,0.543588394187513,1,1,1.21270226957985e-32,"1","ACTB"
4.66141351654454e-36,0.702763250385845,1,0.99,1.52605355704635e-31,"1","PRDX1"
7.98895465295782e-35,0.756727753624747,0.989,0.925,2.61542397428533e-30,"1","ITM2B"
4.33799387584703e-34,0.865489672491806,1,0.969,1.4201724350748e-29,"1","MYL9"
1.14282344562739e-33,0.738427247709211,0.996,0.964,3.74137539629494e-29,"1","PPIB"
2.56953773216425e-32,0.570143044923554,1,1,8.41215262755932e-28,"1","CALM2"
2.78292208541242e-32,1.31577479290082,0.974,0.857,9.11073032322318e-28,"1","RARRES2"
4.39173333239426e-32,0.591096099800028,1,1,1.43776565835923e-27,"1","B2M"
5.18928198572732e-32,1.00323351537229,1,0.995,1.69886713648741e-27,"1","LUM"
5.79542004368852e-32,0.618104186526948,0.996,0.985,1.89730461390275e-27,"1","UBB"
