"gene"
"OGN"
"CYP1B1"
"KIAA1199"
"STARD4-AS1"
"SEMA3C"
"LURAP1L"
"ASPN"
"SLC40A1"
"PCMTD1"
"SHISA3"
"IL8"
"SLITRK4"
"COCH"
"CXCL1"
"HSPA2"
"TMEM176B"
"TNFSF18"
"WFDC1"
"HBD"
"LPPR5"
"CENPA"
"DLGAP5"
"ASF1B"
"IQGAP3"
"ASPM"
"MKI67"
"CCNA2"
"GTSE1"
"FABP3"
"PRUNE2"
"SLC29A2"
"PLA2G3"
"ACSS2"
"LIPG"
"FASN"
"INSIG1"
"TM7SF2"
"HES6"
"CRB2"
"NKX2-2"
"SPARCL1"
"POU3F2"
"C1orf61"
"HEY2"
"S100B"
"FABP7"
"ITGB4"
"CHL1"
