p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.51E-08,0.351535581,1,0.965,0.002715579,1,RPS7
7.53E-08,0.842682976,0.485,0.332,0.002720588,1,TXNRD2
7.78E-08,0.535569237,0.55,0.357,0.002810331,1,EXOSC1
7.82E-08,0.698441244,0.454,0.277,0.002824508,1,CCNDBP1
7.85E-08,0.358786429,0.92,0.828,0.002836025,1,DNAJB6
8.03E-08,0.646957068,0.328,0.171,0.002902626,1,ARRDC4
8.29E-08,0.545558002,0.534,0.333,0.002997075,1,SIAH2
8.30E-08,0.302138426,0.981,0.901,0.00299994,1,BRK1
8.38E-08,0.553666286,0.664,0.465,0.003028692,1,PDGFC
8.50E-08,0.406040851,0.756,0.569,0.00307092,1,ITGAV
8.53E-08,0.425882387,0.805,0.612,0.003083684,1,TXNDC12
8.62E-08,0.785342917,0.424,0.254,0.003114958,1,F8A1
8.96E-08,0.456824083,0.603,0.407,0.003237542,1,SLC35F5
9.23E-08,0.56847247,0.531,0.319,0.003336371,1,SNHG18
9.67E-08,0.399467661,0.897,0.729,0.003494968,1,APRT
9.70E-08,0.357139453,0.737,0.558,0.003505392,1,GNAI1
1.02E-07,1.1065047,0.271,0.138,0.00367889,1,COLEC12
1.04E-07,0.390964776,0.874,0.759,0.003774779,1,CTSB
1.06E-07,0.606093306,0.473,0.285,0.003820814,1,TMEM109
1.07E-07,0.582754105,0.534,0.342,0.003863071,1,MAT2B
1.08E-07,0.399788711,0.798,0.587,0.003894252,1,PSMD9
1.08E-07,0.387447576,0.924,0.765,0.003899187,1,ASPH
1.08E-07,0.510659176,0.645,0.457,0.003899648,1,PAG1
1.10E-07,0.364683797,0.569,0.394,0.003961642,1,TXNIP
1.11E-07,0.413894174,0.878,0.702,0.004019891,1,TM9SF3
1.11E-07,0.315770977,0.889,0.751,0.004028924,1,CYB5R3
1.13E-07,0.328593921,0.992,0.902,0.00407011,1,NEDD8
1.17E-07,1.00785975,0.294,0.152,0.004221615,1,CTSZ
1.19E-07,0.356922156,0.859,0.626,0.004303475,1,RPL22L1
1.21E-07,0.375799991,0.931,0.738,0.00438612,1,SPATS2L
1.24E-07,0.788112639,0.363,0.211,0.00449499,1,RGS2
1.25E-07,0.693273248,0.462,0.271,0.004518703,1,SCNM1
1.28E-07,0.351731218,0.882,0.735,0.004610968,1,COX20
1.29E-07,0.628303588,0.725,0.546,0.004656019,1,CSRP2
1.34E-07,0.502112379,0.695,0.51,0.004853027,1,IMPAD1
1.35E-07,0.401633331,0.469,0.278,0.004876524,1,DNPEP
1.36E-07,0.306470201,0.985,0.941,0.004904104,1,TMEM258
1.36E-07,0.4482115,0.74,0.58,0.004924688,1,ZNF428
1.38E-07,0.891173726,0.286,0.143,0.005005115,1,OAF
1.39E-07,0.578893757,0.469,0.274,0.005020674,1,FRG1B
