"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031646","GO:0031646","positive regulation of nervous system process","2/27","35/18986",0.0571428571428571,40.1820105820106,8.75556433393994,0.00112573571935376,0.0362111516099823,0.0235440061855351,"MAG/CDK18",2
"GO:0031114","GO:0031114","regulation of microtubule depolymerization","2/27","36/18986",0.0555555555555556,39.0658436213992,8.62703523686666,0.0011909114609655,0.0362111516099823,0.0235440061855351,"AURKB/TPX2",2
"GO:0048665","GO:0048665","neuron fate specification","2/27","36/18986",0.0555555555555556,39.0658436213992,8.62703523686666,0.0011909114609655,0.0362111516099823,0.0235440061855351,"SOX9/EYA1",2
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","4/27","342/18986",0.0116959064327485,8.22438813082088,5.08772988432373,0.00130838156097532,0.0374428017302642,0.0243448086113364,"SOX9/CAPN3/MAG/AURKB",4
"GO:0104004","GO:0104004","cellular response to environmental stimulus","4/27","342/18986",0.0116959064327485,8.22438813082088,5.08772988432373,0.00130838156097532,0.0374428017302642,0.0243448086113364,"SOX9/CAPN3/MAG/AURKB",4
"GO:0071459","GO:0071459","protein localization to chromosome, centromeric region","2/27","41/18986",0.0487804878048781,34.3017163504968,8.05546676973027,0.00154330019515806,0.042903745425394,0.0278954411215035,"AURKB/TTK",2
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","3/27","167/18986",0.0179640718562874,12.6320691949434,5.6976584415136,0.00167400928029748,0.0450318490499403,0.0292791056190989,"AURKB/TTK/TPX2",3
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","4/27","368/18986",0.0108695652173913,7.64331723027375,4.8564828246831,0.00171241358154963,0.0450318490499403,0.0292791056190989,"RRM2/AURKB/CDC25C/TTK",4
"GO:0031641","GO:0031641","regulation of myelination","2/27","47/18986",0.0425531914893617,29.9227738376675,7.49186284555647,0.00202385929820327,0.0472346634897084,0.0307113460889433,"MAG/CDK18",2
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","2/27","49/18986",0.0408163265306122,28.7014361300076,7.32696648182217,0.00219786755665615,0.0472346634897084,0.0307113460889433,"AURKB/TTK",2
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","2/27","49/18986",0.0408163265306122,28.7014361300076,7.32696648182217,0.00219786755665615,0.0472346634897084,0.0307113460889433,"AURKB/TTK",2
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","2/27","49/18986",0.0408163265306122,28.7014361300076,7.32696648182217,0.00219786755665615,0.0472346634897084,0.0307113460889433,"AURKB/TTK",2
"GO:0014003","GO:0014003","oligodendrocyte development","2/27","50/18986",0.04,28.1274074074074,7.24817447653414,0.00228744211903573,0.0472346634897084,0.0307113460889433,"MAG/CNTN2",2
"GO:0031577","GO:0031577","spindle checkpoint signaling","2/27","50/18986",0.04,28.1274074074074,7.24817447653414,0.00228744211903573,0.0472346634897084,0.0307113460889433,"AURKB/TTK",2
"GO:0090102","GO:0090102","cochlea development","2/27","50/18986",0.04,28.1274074074074,7.24817447653414,0.00228744211903573,0.0472346634897084,0.0307113460889433,"SOX9/EYA1",2
"GO:0007019","GO:0007019","microtubule depolymerization","2/27","51/18986",0.0392156862745098,27.5758896151053,7.17166036501581,0.0023787240606328,0.0472346634897084,0.0307113460889433,"AURKB/TPX2",2
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","2/27","51/18986",0.0392156862745098,27.5758896151053,7.17166036501581,0.0023787240606328,0.0472346634897084,0.0307113460889433,"AURKB/TTK",2
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","2/27","51/18986",0.0392156862745098,27.5758896151053,7.17166036501581,0.0023787240606328,0.0472346634897084,0.0307113460889433,"AURKB/TTK",2
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","2/27","51/18986",0.0392156862745098,27.5758896151053,7.17166036501581,0.0023787240606328,0.0472346634897084,0.0307113460889433,"AURKB/TTK",2
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","2/27","51/18986",0.0392156862745098,27.5758896151053,7.17166036501581,0.0023787240606328,0.0472346634897084,0.0307113460889433,"AURKB/TTK",2
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","3/27","194/18986",0.0154639175257732,10.8739977090493,5.21659180436709,0.00256466897847655,0.048021131516017,0.0312226970748377,"AURKB/TTK/TPX2",3
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","2/27","53/18986",0.0377358490566038,26.5352900069881,7.02503482395259,0.00256639140681694,0.048021131516017,0.0312226970748377,"AURKB/TTK",2
"GO:1905819","GO:1905819","negative regulation of chromosome separation","2/27","53/18986",0.0377358490566038,26.5352900069881,7.02503482395259,0.00256639140681694,0.048021131516017,0.0312226970748377,"AURKB/TTK",2
