"Dataset","N_cells","Median_Pseudotime","Mean_Pseudotime","SD_Pseudotime"
"GSE115011",294,12.7248149007935,11.066596476054,4.47672875999193
"GSE146373",554,6.77285139531569,6.11082079900945,4.08823202936745
